#LimitAlarmDefinitions;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LocationPath,Name,UpdateRate,ReturnToNormalEnable,ReturnToNormalMessageBody,DeadBand,LoLoEnable,LoLoValue,LoLoMessageBody,LoLoSeverity,LoLoAckRequired,LoEnable,LoValue,LoMessageBody,LoSeverity,LoAckRequired,HiEnable,HiValue,HiMessageBody,HiSeverity,HiAckRequired,HiHiEnable,HiHiValue,HiHiMessageBody,HiHiSeverity,HiHiAckRequired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_MayNghienTinh\MayNghienTinh1,HI_LV_Bin_M,,Yes,X114A,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_MayNghienTinh\MayNghienTinh1,PL_Auto_NTinh,,Yes,M1024,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_MayNghienTinh\MayNghienTinh1,PL_Man_NTinh,,Yes,M1025,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_MayNghienTinh\MayNghienTinh2,SW_Auto_NTinh,,Yes,M30,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_MayNghienTinh\MayNghienTinh2,SW_Man_NTinh,,Yes,M31,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_MayNghienTinh\MayNghienTinh2,BT_Start_FW_NTinh,,Yes,M1032,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_MayNghienTinh\MayNghienTinh2,BT_Start_RV_NTinh,,Yes,M1033,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_MayNghienTinh\MayNghienTinh2,BT_Stop_NTinh,,Yes,M1034,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_MayNghienTinh\MayNghienTinh2,BT_Start_Qhut,,Yes,M1148,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_MayNghienTinh\MayNghienTinh2,BT_Stop_QHut,,Yes,M1149,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_MayNghienTinh\MayNghienTinh2,BT_Start_Vtai,,Yes,M1150,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_MayNghienTinh\MayNghienTinh2,BT_Stop_Vtai,,Yes,M1151,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_MayNghienTinh\MayNghienTinh2,SW_Vavle_NTinh,,Yes,M1258,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_MayNghienTinh\MayNghienTinh2,SW_Hand_VTTG_NTinh,,Yes,M1257,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_MayNghienTinh\MayNghienTinh2,BT_RST_NTinh,,Yes,M1035,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_MayNghienTinh\MayNghienTinh2,PL_FW_NTinh,,Yes,Y10D1,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_MayNghienTinh\MayNghienTinh2,PL_RV_NTinh,,Yes,Y10D2,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_MayNghienTinh\MayNghienTinh2,PL_QH,,Yes,Y10D4,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_MayNghienTinh\MayNghienTinh2,PL_VT,,Yes,Y10D6,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_MayNghienTinh\MayNghienTinh2,PL_OVL_NTinh,,Yes,Y10D3,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_MayNghienTinh\MayNghienTinh2,PL_OVL_QH,,Yes,Y10D5,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_MayNghienTinh\MayNghienTinh2,PL_OVL_VT,,Yes,Y10D7,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_MayNghienTinh\MayNghienTinh2,ALARM_System_NTinh,,Yes,Y10D0,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_MayNghienTinh\MayNghienTinh2,SCADA_NTinh,,Yes,Y10D9,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_MayNghienTinh\MayNghienTinh2,Current_Digital_VT,,Yes,D568,"Read, Write",No,,No,,,,REAL,No,No,Yes,1000ms,No,,,,No,0,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_MayNghienTinh\MayNghienTinh2,Current_Digital_VTTG,,Yes,D578,"Read, Write",No,,No,,,,REAL,No,No,Yes,1000ms,No,,,,No,0,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_MayNghienTinh\MayNghienTinh2,Input_Hz_VT,,Yes,D613,"Read, Write",No,,No,,,,WORD,No,No,Yes,1000ms,No,,,,No,0,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_MayNghienTinh\MayNghienTinh2,Hz_VT,,Yes,D627,"Read, Write",No,,No,,,,WORD,No,No,Yes,1000ms,No,,,,No,0,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_MayNghienTinh\MayNghienTinh2,Tem_Left_QH,,Yes,D102,"Read, Write",No,,No,,,,WORD,No,No,Yes,1000ms,No,,,,No,0,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_MayNghienTinh\MayNghienTinh2,Tem_Right_QH,,Yes,D100,"Read, Write",No,,No,,,,WORD,No,No,Yes,1000ms,No,,,,No,0,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_MayNghienTinh\MayNghienTinh2,Tem_Left_NTinh,,Yes,D106,"Read, Write",No,,No,,,,WORD,No,No,Yes,1000ms,No,,,,No,0,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_MayNghienTinh\MayNghienTinh2,Tem_Right_NTinh,,Yes,D104,"Read, Write",No,,No,,,,WORD,No,No,Yes,1000ms,No,,,,No,0,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_MayNghienTinh\MayNghienTinh2,HI_LV_Bin_M,,Yes,X114A,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_MayNghienTinh\MayNghienTinh2,PL_Auto_NTinh,,Yes,M1030,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_MayNghienTinh\MayNghienTinh2,PL_Man_NTinh,,Yes,M1031,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_EpVien\EpVien1,SW_Auto_EV,,Yes,M36,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_EpVien\EpVien1,SW_Man_EV,,Yes,M37,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_EpVien\EpVien1,BT_Start_M,,Yes,M1038,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_EpVien\EpVien1,BT_Stop_M,,Yes,M1039,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_EpVien\EpVien1,BT_RST_M,,Yes,M1040,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_EpVien\EpVien1,BT_Start_A,,Yes,M1041,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_EpVien\EpVien1,BT_Stop_A,,Yes,M1042,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_EpVien\EpVien1,BT_Start_B,,Yes,M1043,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_EpVien\EpVien1,BT_Stop_B,,Yes,M1044,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_EpVien\EpVien1,BT_Start_DS,,Yes,M1045,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_EpVien\EpVien1,BT_Stop_DS,,Yes,M1046,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_EpVien\EpVien1,BT_Start_MX,,Yes,M1047,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_EpVien\EpVien1,BT_Stop_MX,,Yes,M1048,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_EpVien\EpVien1,BT_Start_PUMP,,Yes,M1049,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_EpVien\EpVien1,BT_Stop_PUMP,,Yes,M1050,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_EpVien\EpVien1,BT_Start_DOOR_M,,Yes,M1051,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Address Space\PLC_EpVien\EpVien1,BT_Stop_DOOR_M,,Yes,M1052,"Read, Write",No,,No,,,,BOOL,No,No,Yes,1000ms,No,,,,No,FALSE,0,0,4,No,0,1,No,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
